Startup_Name,Industry,Business_Model,Target_Market_Size,Budget_INR,Employees_Count,Founder_Experience_Years,Project_Description,Success_Probability,Success_Status,Financial_Risk,Market_Risk,Technical_Risk,Business_Risk,Regulatory_Risk,Overall_Risk_Score,Confidence_Rating,System_Evaluation
NuData73,Technology,B2B,Large,39462,48,4,A data-driven B2B ecosystem serving large market needs.,95.0,1,0.73,0.73,0.73,0.73,0.73,5.36,95.0,Very Strong Potential
KappaSolutions10,Healthcare,Advertising,Small,4625963,64,15,A cutting-edge Advertising toolkit targeting small enterprises.,92.75,1,0.34,0.34,0.34,0.34,0.34,7.42,92.75,Very Strong Potential
DeltaCeleste49,Energy,B2B,Medium,802638,48,6,A blockchain-enabled B2B toolkit serving medium market needs.,95.0,1,0.0,0.0,0.0,0.0,0.0,4.94,95.0,Very Strong Potential
DeltaSolutions57,Finance,B2B,Large,388526,6,5,An AI-powered B2B service targeting large enterprises.,95.0,1,0.0,0.0,0.0,0.0,0.0,4.05,95.0,Very Strong Potential
AlphaNebula97,Energy,SaaS,Medium,566847,5,14,A cutting-edge SaaS service targeting medium enterprises.,93.13,1,0.0,0.0,0.0,0.0,0.0,6.48,93.13,Very Strong Potential
NovaGroup56,Technology,Subscription,Medium,32317304,3,5,A blockchain-enabled Subscription toolkit serving medium market needs.,94.43,1,1.16,1.16,1.16,1.16,1.16,6.15,94.43,Very Strong Potential
MuData94,Technology,Marketplace,Small,12815226,17,3,An AI-powered Marketplace ecosystem serving small market needs.,93.02,1,0.0,0.0,0.0,0.0,0.0,6.08,93.02,Very Strong Potential
PhiKinetic90,Manufacturing,C2C,Medium,97160,45,5,A next-generation C2C ecosystem serving medium market needs.,93.75,1,0.0,0.0,0.0,0.0,0.0,6.21,93.75,Very Strong Potential
QuantumWorks19,Technology,Direct Sales,Medium,11220,16,4,A mobile-first Direct Sales toolkit targeting medium enterprises.,92.82,1,0.0,0.0,0.0,0.0,0.0,7.17,92.82,Very Strong Potential
VertexTech41,E-commerce,Franchise,Medium,74104,38,2,A cloud-based Franchise solution targeting medium enterprises.,92.93,1,1.25,1.25,1.25,1.25,1.25,7.69,92.93,Very Strong Potential
AlphaWave85,Education,Direct Sales,Medium,73718,1,2,A cutting-edge Direct Sales ecosystem serving medium market needs.,95.0,1,0.28,0.28,0.28,0.28,0.28,5.14,95.0,Very Strong Potential
TrekLabs83,Retail,B2G,Large,1735319,16,6,An AI-powered B2G service serving large market needs.,95.0,1,0.0,0.0,0.0,0.0,0.0,4.67,95.0,Very Strong Potential
LuminaNebula11,Agriculture,Subscription,Medium,97580,6,4,A cutting-edge Subscription infrastructure serving medium market needs.,95.0,1,1.4,1.4,1.4,1.4,1.4,5.7,95.0,Very Strong Potential
NovaSync84,E-commerce,Advertising,Small,66788,3,15,A cutting-edge Advertising platform targeting small enterprises.,95.0,1,0.0,0.0,0.0,0.0,0.0,4.32,95.0,Very Strong Potential
KappaDynamics56,Education,C2C,Small,1472089,11,14,An innovative C2C toolkit targeting small enterprises.,95.0,1,0.0,0.0,0.0,0.0,0.0,4.89,95.0,Very Strong Potential
TauSync88,Technology,Franchise,Medium,168634,89,14,An innovative Franchise ecosystem targeting medium enterprises.,95.0,1,0.0,0.0,0.0,0.0,0.0,4.77,95.0,Very Strong Potential
SparkFlow37,Healthcare,B2G,Small,144851,4,7,A blockchain-enabled B2G service serving small market needs.,93.94,1,0.49,0.49,0.49,0.49,0.49,6.31,93.94,Very Strong Potential
EtaZephyr38,Technology,B2G,Large,399117,444,7,A cutting-edge B2G infrastructure targeting large enterprises.,94.89,1,0.0,0.0,0.0,0.0,0.0,4.62,94.89,Very Strong Potential
TrekSystems14,Technology,SaaS,Large,75994,67,2,A data-driven SaaS ecosystem targeting large enterprises.,93.49,1,0.0,0.0,0.0,0.0,0.0,6.5,93.49,Very Strong Potential
ZenTech69,Entertainment,SaaS,Medium,2713055,83,11,An AI-powered SaaS solution targeting medium enterprises.,93.05,1,0.01,0.01,0.01,0.01,0.01,6.96,93.05,Very Strong Potential
NexusWorks46,Finance,B2G,Small,637186,7,8,A next-generation B2G solution targeting small enterprises.,95.0,1,0.0,0.0,0.0,0.0,0.0,4.77,95.0,Very Strong Potential
TauWave92,Technology,B2B,Medium,751010,8,3,A cutting-edge B2B infrastructure serving medium market needs.,93.04,1,0.0,0.0,0.0,0.0,0.0,6.16,93.04,Very Strong Potential
LighthouseSync27,Technology,Direct Sales,Medium,630776,24,9,A data-driven Direct Sales infrastructure serving medium market needs.,95.0,1,0.0,0.0,0.0,0.0,0.0,4.4,95.0,Very Strong Potential
SonicWave67,Healthcare,B2C,Small,76064,90,4,A data-driven B2C platform targeting small enterprises.,95.0,1,0.0,0.0,0.0,0.0,0.0,4.64,95.0,Very Strong Potential
GammaNebula56,Healthcare,B2G,Medium,2349349,51,0,A blockchain-enabled B2G platform targeting medium enterprises.,94.4,1,0.0,0.0,0.0,0.0,0.0,5.09,94.4,Very Strong Potential
QuartzAI57,Finance,B2B,Medium,47914,46,5,A blockchain-enabled B2B infrastructure targeting medium enterprises.,95.0,1,0.0,0.0,0.0,0.0,0.0,4.35,95.0,Very Strong Potential
VibeCloud83,Technology,Advertising,Medium,130610,2,10,A next-generation Advertising ecosystem serving medium market needs.,92.82,1,1.64,1.64,1.64,1.64,1.64,8.0,92.82,Very Strong Potential
SparkSync64,Retail,Direct Sales,Large,54553,17,3,A cutting-edge Direct Sales infrastructure targeting large enterprises.,95.0,1,0.0,0.0,0.0,0.0,0.0,4.6,95.0,Very Strong Potential
VirtuSolutions54,E-commerce,B2C,Medium,6965781,23,4,A mobile-first B2C platform targeting medium enterprises.,95.0,1,0.0,0.0,0.0,0.0,0.0,4.6,95.0,Very Strong Potential
ChiCapital60,Energy,Subscription,Medium,263947,22,11,A cutting-edge Subscription infrastructure serving medium market needs.,95.0,1,0.0,0.0,0.0,0.0,0.0,4.02,95.0,Very Strong Potential
TauGroup84,E-commerce,Advertising,Small,132472,3,13,A cutting-edge Advertising platform targeting small enterprises.,93.1,1,1.75,1.75,1.75,1.75,1.75,7.77,93.1,Very Strong Potential
LighthousePartners37,E-commerce,B2C,Small,55697,8,3,A data-driven B2C platform targeting small enterprises.,95.0,1,0.0,0.0,0.0,0.0,0.0,4.5,95.0,Very Strong Potential
SigmaPartners65,Food & Beverage,Franchise,Medium,921418,81,11,A cloud-based Franchise infrastructure targeting medium enterprises.,95.0,1,0.86,0.86,0.86,0.86,0.86,5.43,95.0,Very Strong Potential
NexusAnalytics63,E-commerce,Freemium,Medium,22362999,30,9,An AI-powered Freemium ecosystem targeting medium enterprises.,94.97,1,1.83,1.83,1.83,1.83,1.83,5.95,94.97,Very Strong Potential
GammaAnalytics94,Retail,B2G,Large,12538,75,7,An innovative B2G platform serving large market needs.,94.4,1,0.0,0.0,0.0,0.0,0.0,5.35,94.4,Very Strong Potential
LuminaKinetic66,Technology,Franchise,Large,383223,5,5,An innovative Franchise service serving large market needs.,95.0,1,0.0,0.0,0.0,0.0,0.0,4.59,95.0,Very Strong Potential
PioneerGroup27,Healthcare,B2C,Large,157911,10,4,A cutting-edge B2C infrastructure targeting large enterprises.,95.0,1,0.0,0.0,0.0,0.0,0.0,4.09,95.0,Very Strong Potential
LambdaKinetic82,Real Estate,Franchise,Medium,4788925,1,28,A cutting-edge Franchise service serving medium market needs.,95.0,1,0.0,0.0,0.0,0.0,0.0,4.37,95.0,Very Strong Potential
SparkSync22,Healthcare,Marketplace,Medium,10473972,2,5,An AI-powered Marketplace solution serving medium market needs.,93.32,1,1.7,1.7,1.7,1.7,1.7,7.53,93.32,Very Strong Potential
XenonSync61,Agriculture,C2C,Small,61733,40,15,An AI-powered C2C toolkit serving small market needs.,95.0,1,0.0,0.0,0.0,0.0,0.0,4.82,95.0,Very Strong Potential
TauAI84,Healthcare,B2B,Large,32734,16,14,A cutting-edge B2B infrastructure serving large market needs.,95.0,1,0.88,0.88,0.88,0.88,0.88,5.44,95.0,Very Strong Potential
RhoSolutions47,Manufacturing,SaaS,Large,12936,24,8,A next-generation SaaS toolkit targeting large enterprises.,93.34,1,1.68,1.68,1.68,1.68,1.68,7.5,93.34,Very Strong Potential
PhiPartners47,Retail,Advertising,Small,195539,247,36,An AI-powered Advertising solution serving small market needs.,95.0,1,0.0,0.0,0.0,0.0,0.0,4.08,95.0,Very Strong Potential
NuNebula86,Technology,Direct Sales,Small,331893,4,3,A data-driven Direct Sales ecosystem serving small market needs.,94.56,1,0.71,0.71,0.71,0.71,0.71,5.8,94.56,Very Strong Potential
ZenInnovations92,E-commerce,Franchise,Medium,291183,4,1,A next-generation Franchise service targeting medium enterprises.,95.0,1,1.41,1.41,1.41,1.41,1.41,5.7,95.0,Very Strong Potential
PulseWorks78,Food & Beverage,Marketplace,Small,3616370,3,14,A blockchain-enabled Marketplace solution serving small market needs.,94.67,1,1.88,1.88,1.88,1.88,1.88,6.27,94.67,Very Strong Potential
XiAI29,Food & Beverage,Freemium,Medium,16821,139,8,A mobile-first Freemium service serving medium market needs.,94.21,1,0.13,0.13,0.13,0.13,0.13,5.85,94.21,Very Strong Potential
OmicronAnalytics85,Education,C2C,Large,54085,37,5,A blockchain-enabled C2C solution serving large market needs.,93.09,1,1.08,1.08,1.08,1.08,1.08,7.45,93.09,Very Strong Potential
EpsilonFlow39,Food & Beverage,Direct Sales,Medium,85166,7,8,An AI-powered Direct Sales infrastructure targeting medium enterprises.,95.0,1,0.0,0.0,0.0,0.0,0.0,4.25,95.0,Very Strong Potential
IlluminateWave75,Technology,Franchise,Large,30269,18,15,A data-driven Franchise solution targeting large enterprises.,95.0,1,0.0,0.0,0.0,0.0,0.0,4.3,95.0,Very Strong Potential
LambdaZephyr61,Technology,Marketplace,Medium,78423,28,15,A cutting-edge Marketplace toolkit serving medium market needs.,95.0,1,0.0,0.0,0.0,0.0,0.0,4.78,95.0,Very Strong Potential
KappaDynamics85,E-commerce,B2B,Large,69944,20,2,A cloud-based B2B infrastructure serving large market needs.,95.0,1,0.0,0.0,0.0,0.0,0.0,4.56,95.0,Very Strong Potential
VertexVentures63,Technology,B2G,Small,208577,19,9,A cutting-edge B2G service targeting small enterprises.,93.62,1,1.42,1.42,1.42,1.42,1.42,7.09,93.62,Very Strong Potential
SonicCapital67,Technology,Marketplace,Large,24953514,6,3,A data-driven Marketplace service targeting large enterprises.,93.31,1,1.64,1.64,1.64,1.64,1.64,7.51,93.31,Very Strong Potential
IotaCloud15,Retail,Marketplace,Medium,394545,7,13,An innovative Marketplace toolkit serving medium market needs.,94.72,1,0.32,0.32,0.32,0.32,0.32,5.44,94.72,Very Strong Potential
